"month_year","SalesTerritoryCountry","ProductName","salesamount"
"01-2012","United Kingdom","LL Road Handlebars",24.2945
"02-2012","France","AWC Logo Cap",10.373
"03-2012","United Kingdom","Half-Finger Gloves, L",14.1289
"04-2012","Canada","LL Mountain Handlebars",24.2945
"05-2012","United Kingdom","AWC Logo Cap",10.373
"06-2012","France","AWC Logo Cap",10.373
"07-2012","United Kingdom","Minipump",23.988
"08-2012","France","Half-Finger Gloves, S",14.1289
"09-2012","United Kingdom","Minipump",11.994
"10-2012","United Kingdom","Full-Finger Gloves, S",22.794
"11-2012","United Kingdom","Half-Finger Gloves, L",14.1289
"12-2012","United Kingdom","Racing Socks, M",5.394
